dilemmas_tables	3
generate	key	localised_description	localised_title	ui_icon	ui_image	prioritized	event_category
false	shield_ally_region_vik_reg_abberdeon	Our ally has a rightful claim to the region of Abberdeon, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Abberdeon	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_aberffro	Our ally has a rightful claim to the region of Aberffro, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Aberffro	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_aberteifi	Our ally has a rightful claim to the region of Aberteifi, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Aberteifi	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_achadh_bo	Our ally has a rightful claim to the region of Achadh Bó, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Achadh Bó	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_aebburcurnig	Our ally has a rightful claim to the region of Aebburcurnig, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Aebburcurnig	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_aelmham	Our ally has a rightful claim to the region of Aelmham, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Aelmham	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_aethelingaeg	Our ally has a rightful claim to the region of Aethelingaeg, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Aethelingaeg	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_airchardan	Our ally has a rightful claim to the region of Airchardan, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Airchardan	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_alclyt	Our ally has a rightful claim to the region of Alclyt, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Alclyt	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_alt_clut	Our ally has a rightful claim to the region of Alt Clut, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Alt Clut	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_an_tinbhear_mor	Our ally has a rightful claim to the region of An tinbhear Mor, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -An tinbhear Mor	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_aporcrosan	Our ally has a rightful claim to the region of Aporcrosan, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Aporcrosan	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_ard_fert	Our ally has a rightful claim to the region of Ard Fert, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Ard Fert	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_ard_macha	Our ally has a rightful claim to the region of Ard Macha, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Ard Macha	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_ard_mor	Our ally has a rightful claim to the region of Ard Mór, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Ard Mór	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_ard_sratha	Our ally has a rightful claim to the region of Ard Sratha, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Ard Sratha	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_ardach	Our ally has a rightful claim to the region of Ardach, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Ardach	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_axanbrycg	Our ally has a rightful claim to the region of Axanbrycg, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Axanbrycg	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_balla	Our ally has a rightful claim to the region of Balla, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Balla	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_basengas	Our ally has a rightful claim to the region of Basengas, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Basengas	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_bathanceaster	Our ally has a rightful claim to the region of Bathanceaster, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Bathanceaster	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_bebbanburg	Our ally has a rightful claim to the region of Bebbanburg, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Bebbanburg	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_bedanford	Our ally has a rightful claim to the region of Bedanford, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Bedanford	message_generic_news.png	vik_event_subject_arrives	true	Ybor
false	shield_ally_region_vik_reg_beoferlic	Our ally has a rightful claim to the region of Beoferlic, which through the chaos of war we have come to hold. They request that we return this land to their control.	Allied Land Claim -Beoferlic	message_generic_news.png	vik_event_subject_arrives	true	Ybor
